English Title,Native Title,Year,Country,Rating_mdl,Number of Raters_mdl,Rating_douban,Number of Raters_douban,ID,URL
Glory of Special Forces,特战荣耀,2022,China,8.6,1770,7.0,64524,30284118,https://mydramalist.com/30867-special-forces
Nirvana in Fire Season 2: The Wind Blows in Chang Lin,琅琊榜之风起长林,2017,China,8.7,2555,8.4,195859,26665065,https://mydramalist.com/20566-nirvana-in-fire-2-the-wind-blows-in-chang-lin
Love Endures,要久久爱,2024,China,8.2,1052,7.2,129498,36097798,https://mydramalist.com/698211-my-love-in-seventeen
Eternal Love of Dream,三生三世枕上书,2020,China,8.6,10720,6.8,357156,26915522,https://mydramalist.com/26385-three-lives-three-worlds-the-pillow-book
Till the End of the Moon,长月烬明,2023,China,8.6,13216,5.6,372056,35501483,https://mydramalist.com/693513-hei-yue-guang-wen-na-be-ju-ben
The Bad Kids,隐秘的角落,2020,China,8.6,2278,8.8,1160233,33404425,https://mydramalist.com/51571-cat-s-cradle
The Long Ballad,长歌行,2021,China,8.7,13825,6.0,337959,26926445,https://mydramalist.com/53953-princess-changge
The Imperial Coroner,御赐小仵作,2021,China,8.5,5037,8.0,363801,32581207,https://mydramalist.com/50135-the-imperial-coroner
The Wolf,狼殿下,2020,China,8.0,5429,6.1,374008,26743567,https://mydramalist.com/24662-the-wolf
All Is Well,都挺好,2019,China,8.2,507,7.7,366206,27088993,https://mydramalist.com/27048-all-is-well
Falling Into Your Smile,你微笑时很美,2021,China,8.6,36774,3.2,415592,30148173,https://mydramalist.com/49241-falling-into-your-smile
Douluo Continent,斗罗大陆,2021,China,8.4,8713,6.4,894652,30313969,https://mydramalist.com/33701-douluo-continent
The Longest Day in Chang'an,长安十二时辰,2019,China,8.5,1191,8.1,487855,26849758,https://mydramalist.com/28435-the-longest-day-in-chang-an
Meet Yourself,去有风的地方,2023,China,8.9,5947,8.7,327055,35662223,https://mydramalist.com/715585-you-feng-de-di-fang
Ultimate Note,终极笔记,2020,China,8.7,2652,8.2,279837,34794707,https://mydramalist.com/51397-final-chronicles
Luoyang,风起洛阳,2021,China,8.2,2405,6.3,260877,33442334,https://mydramalist.com/59017-luo-yang
The Youth Memories,梦中的那片海,2023,China,8.4,1181,7.5,311065,35431983,https://mydramalist.com/716777-where-dreams-begin
