Native Title,English Title,Year,Country,Rating,Number of Raters,URL,ID
武林外传,My Own Swordsman,2006.0,Chinese mainland,9.6,580948.0,https://movie.douban.com/subject/3882715/,3882715.0
白夜追凶,Day and Night,2017.0,Chinese mainland,8.9,632915.0,https://movie.douban.com/subject/26883064/,26883064.0
山海情,Minning Town,2021.0,Chinese mainland,9.2,446178.0,https://movie.douban.com/subject/35033654/,35033654.0
爱情公寓5,Ipartment Season 5,2020.0,Chinese mainland,6.9,329399.0,https://movie.douban.com/subject/25931446/,25931446.0
觉醒年代,The Age of Awakening,2021.0,Chinese mainland,9.3,500933.0,https://movie.douban.com/subject/30228394/,30228394.0
我们与恶的距离 我們與惡的距離,The World Between Us,2019.0,"Taiwan, China",9.4,460859.0,https://movie.douban.com/subject/30181230/,30181230.0
小欢喜,A Little Reunion,2019.0,Chinese mainland,8.2,329818.0,https://movie.douban.com/subject/26946624/,26946624.0
父母爱情,Parents Love,2014.0,Chinese mainland,9.4,376245.0,https://movie.douban.com/subject/19965220/,19965220.0
仙剑奇侠传三,Chinese Paladin 3,2009.0,Chinese mainland,9.0,397269.0,https://movie.douban.com/subject/3227335/,3227335.0
人民的名义,In the Name of People,2017.0,Chinese mainland,8.3,442067.0,https://movie.douban.com/subject/26727273/,26727273.0
人世间,A Lifelong Journey,2022.0,Chinese mainland,8.4,278199.0,https://movie.douban.com/subject/35207856/,35207856.0
幸福到万家,The Story of Xing Fu,2022.0,Chinese mainland,7.0,261402.0,https://movie.douban.com/subject/34951002/,34951002.0
无证之罪,Burning Ice,2017.0,Chinese mainland,8.0,330583.0,https://movie.douban.com/subject/26930540/,26930540.0
家有儿女,Home With Kids,2005.0,Chinese mainland,9.0,227289.0,https://movie.douban.com/subject/2160565/,2160565.0
风吹半夏,Wild Bloom,2022.0,Chinese mainland,8.2,394643.0,https://movie.douban.com/subject/35161592/,35161592.0
繁花,Blossoms Shanghai,2023.0,Chinese mainland,8.7,429133.0,https://movie.douban.com/subject/34874646/,34874646.0
亮剑,Drawing Sword,2005.0,Chinese mainland,9.5,259097.0,https://movie.douban.com/subject/2254648/,2254648.0
爱情公寓,Ipartment Season 1,2009.0,Chinese mainland,8.1,252209.0,https://movie.douban.com/subject/3926132/,3926132.0
大明王朝1566,嘉靖与海瑞,2007.0,Chinese mainland,9.8,257008.0,https://movie.douban.com/subject/2210001/,2210001.0
叛逆者,The Rebel,2021.0,Chinese mainland,7.7,297788.0,https://movie.douban.com/subject/34949767/,34949767.0
士兵突击,Soldiers Sortie,2006.0,Chinese mainland,9.5,234639.0,https://movie.douban.com/subject/2154096/,2154096.0
余罪 第一季,Season 1,2016.0,Chinese mainland,8.4,234153.0,https://movie.douban.com/subject/26363830/,26363830.0
潜伏,Lurk,2008.0,Chinese mainland,9.5,267976.0,https://movie.douban.com/subject/3314870/,3314870.0
大江大河,Like a Flowing River,2018.0,Chinese mainland,8.8,243374.0,https://movie.douban.com/subject/26797690/,26797690.0
我是余欢水,If There Is No Tomorrow,2020.0,Chinese mainland,7.3,312679.0,https://movie.douban.com/subject/33442331/,33442331.0
金枝欲孽,War and Beauty,2004.0,China Hong Kong,9.0,165963.0,https://movie.douban.com/subject/1878360/,1878360.0
清平乐,Serenade of Peaceful Joy,2020.0,Chinese mainland,6.4,167800.0,https://movie.douban.com/subject/26759908/,26759908.0
那年，我们的夏天 그 해 우리는,Geu Hae Urineun,2021.0,South Korea,8.7,142041.0,https://movie.douban.com/subject/35402776/,35402776.0
破冰行动,The Thunder,2019.0,Chinese mainland,6.8,185491.0,https://movie.douban.com/subject/27052168/,27052168.0
少年包青天,少年包青天 第一部,2000.0,Chinese mainland,8.6,177254.0,https://movie.douban.com/subject/2157131/,2157131.0
机智医生生活 슬기로운 의사생활,Secret Doctor's Life,2020.0,South Korea,9.5,294138.0,https://movie.douban.com/subject/33464863/,33464863.0
我是大哥大 今日から俺は！！,"From Today, It's My Turn!!(英)",2018.0,Japan,9.2,287505.0,https://movie.douban.com/subject/30183785/,30183785.0
我叫金三顺 내 이름은 김삼순,My Lovely Sam-Soon,2005.0,South Korea,8.6,170104.0,https://movie.douban.com/subject/1477894/,1477894.0
我的天才女友 第一季 L'amica geniale Season 1,My Brilliant Friend,2018.0,Italy / United States,9.4,197938.0,https://movie.douban.com/subject/28427782/,28427782.0
朝5晚9：帅气和尚爱上我 5→9 ～私に恋したお坊さん～,朝5晚9：恋上我的帅和尚,2015.0,Japan,7.5,176249.0,https://movie.douban.com/subject/26588970/,26588970.0
大宅门,The Grand Mansion Gate,2001.0,Chinese mainland,9.4,180774.0,https://movie.douban.com/subject/2181930/,2181930.0
3年A班：从现在起，大家都是人质 3年A組 -今から皆さんは、人質です-,Mr. Hiiragi's Homeroom,2019.0,Japan,8.6,191944.0,https://movie.douban.com/subject/30377729/,30377729.0
昼颜：工作日下午3点的恋人们 昼顔～平日午後3時の恋人たち～,Hirugao: Love Affairs in the Afternoon,2014.0,Japan,8.6,146366.0,https://movie.douban.com/subject/25897313/,25897313.0
没关系，是爱情啊 괜찮아 사랑이야,It's Okay It's Love,2014.0,South Korea,8.8,166640.0,https://movie.douban.com/subject/25809181/,25809181.0
以你的心诠释我的爱 แปลรักฉันด้วยใจเธอ,BKPP The Series,2020.0,Thailand,9.3,236469.0,https://movie.douban.com/subject/34979008/,34979008.0
爱情公寓2,Ipartment Season 2,2011.0,Chinese mainland,8.2,188051.0,https://movie.douban.com/subject/4707205/,4707205.0
康熙王朝,Kang Xi Kingdom,2001.0,Chinese mainland,9.2,178198.0,https://movie.douban.com/subject/1830590/,1830590.0
